dataset,k,sigma,role,n,ADE_base,FDE_base,ADE_dup,FDE_dup,dADE,dFDE,abs_dADE,abs_dFDE,ratio_ADE(%),ratio_FDE(%)
AVG,1,0.02,other,30813,0.447534,0.747592,0.499539,0.840371,0.052004,0.092779,0.094283,0.206811,21.067112,27.663674
AVG,1,0.05,all,33654,0.453523,0.759575,0.499808,0.841706,0.046286,0.082130,0.093044,0.208307,20.515764,27.424162
AVG,1,0.05,source,2841,0.470479,0.795992,0.511739,0.871965,0.041260,0.075973,0.105136,0.247072,22.346477,31.039440
AVG,1,0.05,other,30813,0.447534,0.747592,0.497882,0.836940,0.050348,0.089348,0.089857,0.193950,20.078333,25.943284
AVG,2,0.0,all,33654,0.453523,0.759575,0.521917,0.880613,0.068394,0.121037,0.116245,0.253095,25.631597,33.320563
AVG,2,0.0,source,2841,0.470479,0.795992,0.573401,0.975256,0.102922,0.179264,0.168065,0.369948,35.721979,46.476283
AVG,2,0.0,other,30813,0.447534,0.747592,0.502651,0.849574,0.055117,0.101983,0.094943,0.203115,21.214616,27.169220
AVG,2,0.02,all,33654,0.453523,0.759575,0.515068,0.871202,0.061545,0.111627,0.112459,0.250192,24.796855,32.938410
AVG,2,0.02,source,2841,0.470479,0.795992,0.527078,0.901203,0.056598,0.105210,0.128854,0.295737,27.387806,37.153266
AVG,2,0.02,other,30813,0.447534,0.747592,0.512962,0.867051,0.065427,0.119459,0.109849,0.238688,24.545378,31.927652
AVG,2,0.05,all,33654,0.453523,0.759575,0.514418,0.868359,0.060895,0.108783,0.109765,0.240684,24.202740,31.686669
AVG,2,0.05,source,2841,0.470479,0.795992,0.531459,0.906459,0.060980,0.110466,0.127654,0.290900,27.132804,36.545564
AVG,2,0.05,other,30813,0.447534,0.747592,0.509869,0.860235,0.062335,0.112643,0.104795,0.223138,23.416095,29.847548
AVG,4,0.0,all,33654,0.453523,0.759575,0.543063,0.923358,0.089541,0.163783,0.141539,0.304627,31.208875,40.104915
AVG,4,0.0,source,2841,0.470479,0.795992,0.604257,1.034666,0.133778,0.238674,0.203584,0.443812,43.271619,55.755787
AVG,4,0.0,other,30813,0.447534,0.747592,0.519362,0.885698,0.071828,0.138106,0.115952,0.244923,25.909110,32.761608
AVG,4,0.02,all,33654,0.453523,0.759575,0.518761,0.879213,0.065238,0.119638,0.118820,0.266527,26.199286,35.088988
AVG,4,0.02,source,2841,0.470479,0.795992,0.529186,0.908064,0.058706,0.112071,0.135059,0.316093,28.706619,39.710582
AVG,4,0.02,other,30813,0.447534,0.747592,0.517525,0.876297,0.069990,0.128706,0.117488,0.255539,26.252392,34.181615
AVG,4,0.05,all,33654,0.453523,0.759575,0.517827,0.876285,0.064304,0.116709,0.115156,0.254189,25.391505,33.464607
AVG,4,0.05,source,2841,0.470479,0.795992,0.533945,0.915006,0.063465,0.119014,0.134382,0.308790,28.562842,38.793040
AVG,4,0.05,other,30813,0.447534,0.747592,0.513569,0.868013,0.066035,0.120422,0.110576,0.236731,24.707809,31.665852
