dataset,k,sigma,role,n,ADE_base,FDE_base,ADE_dup,FDE_dup,dADE,dFDE,abs_dADE,abs_dFDE,ratio_ADE(%),ratio_FDE(%)
AVG,1,0.05,other,30813,0.231890,0.405341,0.239078,0.421966,0.007189,0.016625,0.020803,0.056775,8.971068,14.006670
AVG,2,0.0,all,33654,0.233975,0.402613,0.249635,0.443282,0.015660,0.040668,0.034555,0.091332,14.768771,22.684883
AVG,2,0.0,source,2841,0.239921,0.405152,0.254528,0.449060,0.014607,0.043908,0.039014,0.101516,16.261273,25.056273
AVG,2,0.0,other,30813,0.231890,0.405341,0.248181,0.443315,0.016291,0.037974,0.033645,0.089597,14.508903,22.104055
AVG,2,0.02,all,33654,0.233975,0.402613,0.249655,0.443660,0.015680,0.041046,0.034763,0.092046,14.857707,22.862249
AVG,2,0.02,source,2841,0.239921,0.405152,0.254538,0.449667,0.014617,0.044515,0.039333,0.102207,16.394012,25.226762
AVG,2,0.02,other,30813,0.231890,0.405341,0.248261,0.443691,0.016371,0.038350,0.033812,0.090357,14.580965,22.291540
AVG,2,0.05,all,33654,0.233975,0.402613,0.250218,0.445343,0.016243,0.042730,0.035648,0.095054,15.235917,23.609265
AVG,2,0.05,source,2841,0.239921,0.405152,0.255028,0.451983,0.015108,0.046831,0.040341,0.105595,16.814408,26.063103
AVG,2,0.05,other,30813,0.231890,0.405341,0.248957,0.445244,0.017068,0.039902,0.034677,0.093299,14.953965,23.017385
AVG,4,0.0,all,33654,0.233975,0.402613,0.266632,0.484763,0.032657,0.082150,0.055052,0.143259,23.529007,35.582230
AVG,4,0.0,source,2841,0.239921,0.405152,0.268944,0.486647,0.029023,0.081494,0.057796,0.149218,24.089482,36.830107
AVG,4,0.0,other,30813,0.231890,0.405341,0.266235,0.486179,0.034345,0.080838,0.054972,0.143643,23.705995,35.437431
AVG,4,0.02,all,33654,0.233975,0.402613,0.266633,0.485256,0.032658,0.082642,0.055324,0.144203,23.645360,35.816682
AVG,4,0.02,source,2841,0.239921,0.405152,0.268929,0.487409,0.029008,0.082257,0.058101,0.150031,24.216625,37.030771
AVG,4,0.02,other,30813,0.231890,0.405341,0.266281,0.486618,0.034391,0.081277,0.055239,0.144709,23.821013,35.700607
AVG,4,0.05,all,33654,0.233975,0.402613,0.267285,0.487496,0.033310,0.084883,0.056430,0.147545,24.117891,36.646735
AVG,4,0.05,source,2841,0.239921,0.405152,0.269393,0.490232,0.029472,0.085079,0.059198,0.152998,24.674174,37.763164
AVG,4,0.05,other,30813,0.231890,0.405341,0.267099,0.488698,0.035209,0.083356,0.056370,0.148384,24.308872,36.607059
